Game,Move,White,Black,White_moved,Black_moved,move_detail_white,move_detail_black,Result,WhiteRank,BlackRank,white_rank_text,black_rank_text,statuss
1,25,Ng3,Re3,Moved,Moved,,,1--0,1455,1504,competente,competente,competente
1,26,Re1,Bxf3,Moved,Take Pawn  ,,,1--0,1455,1504,competente,competente,competente
1,27,Rxe3,dxe3,Take Rook  ,Take Rook  ,,,1--0,1455,1504,competente,competente,competente
1,28,Bxg7,e2+,Take Pawn  ,Check,,,1--0,1455,1504,competente,competente,competente
1,29,Ke1,Kxg7,Moved,Take Bishop  ,,,1--0,1455,1504,competente,competente,competente
1,30,gxf3,Qxf3,Take Bishop   ,Take Pawn  ,,,1--0,1455,1504,competente,competente,competente
1,31,Qxe2,Qxd3,Take Pawn  ,Take Bishop  ,,,1--0,1455,1504,competente,competente,competente
1,32,Qe5+,Kg8,Check,Moved,,,1--0,1455,1504,competente,competente,competente
2,1,e4,c5,Moved,Moved,,,0-1,1497,1551,competente,competente,competente
2,2,Nf3,Nc6,Moved,Moved,,,0-1,1497,1551,competente,competente,competente
2,3,d4,cxd4,Moved,Take Pawn  ,,,0-1,1497,1551,competente,competente,competente
2,4,Nxd4,g6,Take Pawn  ,Moved,,,0-1,1497,1551,competente,competente,competente
2,5,g3,Bg7,Moved,Moved,,,0-1,1497,1551,competente,competente,competente
2,6,Be3,Nf6,Moved,Moved,,,0-1,1497,1551,competente,competente,competente
2,7,Bg2,O-O,Moved,Castle  ,,,0-1,1497,1551,competente,competente,competente
2,8,Nc3,e6,Moved,Moved,,,0-1,1497,1551,competente,competente,competente
2,9,O-O,a6,Castle  ,Moved,,,0-1,1497,1551,competente,competente,competente
2,10,h3,d5,Moved,Moved,,,0-1,1497,1551,competente,competente,competente
2,11,exd5,exd5,Take Pawn  ,Take Pawn  ,,,0-1,1497,1551,competente,competente,competente
2,12,Nxc6,bxc6,Take Knight   ,Take Knight  ,,,0-1,1497,1551,competente,competente,competente
2,13,Bg5,Qb6,Moved,Moved,,,0-1,1497,1551,competente,competente,competente
2,14,Qf3,Bb7,Moved,Moved,,,0-1,1497,1551,competente,competente,competente
2,15,Bxf6,Qxb2,Moved,Take Pawn  ,,,0-1,1497,1551,competente,competente,competente
2,16,Bxg7,Kxg7,Take Bishop   ,Take Bishop  ,,,0-1,1497,1551,competente,competente,competente
2,17,Rab1,Qa3,Moved,Moved,,,0-1,1497,1551,competente,competente,competente
2,18,Rxb7,d4,Take Bishop   ,Moved,,,0-1,1497,1551,competente,competente,competente
2,19,Ne4,Qxf3,Moved,Take Queen  ,,,0-1,1497,1551,competente,competente,competente
2,20,Bxf3,,Take Queen  ,Moved,,,0-1,1497,1551,competente,competente,competente
3,1,d4,e6,Moved,Moved,,,0-1,1528,1506,competente,competente,competente
3,2,c4,d6,Moved,Moved,,,0-1,1528,1506,competente,competente,competente
3,3,Nc3,Be7,Moved,Moved,,,0-1,1528,1506,competente,competente,competente
3,4,Nf3,Nd7,Moved,Moved,,,0-1,1528,1506,competente,competente,competente
3,5,e4,h6,Moved,Moved,,,0-1,1528,1506,competente,competente,competente
3,6,Be2,a6,Moved,Moved,,,0-1,1528,1506,competente,competente,competente
3,7,O-O,b6,Castle  ,Moved,,,0-1,1528,1506,competente,competente,competente
3,8,e5,dxe5,Moved,Take Pawn  ,,,0-1,1528,1506,competente,competente,competente
3,9,dxe5,Bb7,Take Pawn  ,Moved,,,0-1,1528,1506,competente,competente,competente
3,10,Qc2,Rb8,Moved,Moved,,,0-1,1528,1506,competente,competente,competente
3,11,Re1,Bxf3,Moved,Take Knight  ,,,0-1,1528,1506,competente,competente,competente
3,12,Bxf3,Bc5,Take Bishop   ,Moved,,,0-1,1528,1506,competente,competente,competente
3,13,Ne4,Ne7,Moved,Moved,,,0-1,1528,1506,competente,competente,competente
3,14,Bf4,Nf5,Moved,Moved,,,0-1,1528,1506,competente,competente,competente
3,15,Rad1,Qe7,Moved,Moved,,,0-1,1528,1506,competente,competente,competente
3,16,h3,O-O,Moved,Castle  ,,,0-1,1528,1506,competente,competente,competente
3,17,g4,Nd4,Moved,Moved,,,0-1,1528,1506,competente,competente,competente
3,18,Rxd4,Bxd4,Take Knight   ,Take Rook  ,,,0-1,1528,1506,competente,competente,competente
3,19,g5,hxg5,Moved,Take Pawn  ,,,0-1,1528,1506,competente,competente,competente
3,20,Bxg5,f6,Take Pawn  ,Moved,,,0-1,1528,1506,competente,competente,competente
3,21,exf6,gxf6,Take Pawn  ,Take Pawn  ,,,0-1,1528,1506,competente,competente,competente
3,22,Bh6,Kf7,Moved,Moved,,,0-1,1528,1506,competente,competente,competente
3,23,Bh5+,Kg8,Check,Moved,,,0-1,1528,1506,competente,competente,competente
3,24,Qd3,e5,Moved,Moved,,,0-1,1528,1506,competente,competente,competente
3,25,Qg3+,Kh7,Check,Moved,,,0-1,1528,1506,competente,competente,competente
3,26,Qg6+,Kh8,Check,Moved,,,0-1,1528,1506,competente,competente,competente
3,27,Bxf8,Rxf8,Take Rook  ,Take Bishop  ,,,0-1,1528,1506,competente,competente,competente
3,28,Qh6+,Qh7,Check,Moved,,,0-1,1528,1506,competente,competente,competente
3,29,Qxh7+,Kxh7,Take Queen and check ,Take Queen  ,,,0-1,1528,1506,competente,competente,competente
3,30,Kh2,Rg8,Moved,Moved,,,0-1,1528,1506,competente,competente,competente
3,31,b3,Kh6,Moved,Moved,,,0-1,1528,1506,competente,competente,competente
3,32,Bg4,Rf8,Moved,Moved,,,0-1,1528,1506,competente,competente,competente
3,33,Bxd7,f5,Take Knight   ,Moved,,,0-1,1528,1506,competente,competente,competente
3,34,Ng3,Bxf2,Moved,Take Pawn  ,,,0-1,1528,1506,competente,competente,competente
3,35,Re2,Bd4,Moved,Moved,,,0-1,1528,1506,competente,competente,competente
3,36,Nxf5+,Kg6,Take Pawn and check ,Moved,,,0-1,1528,1506,competente,competente,competente
3,37,Ne7+,Kf7,Check,Moved,,,0-1,1528,1506,competente,competente,competente
3,38,Nd5,c5,Moved,Moved,,,0-1,1528,1506,competente,competente,competente
3,39,Bg4,Kg7,Moved,Moved,,,0-1,1528,1506,competente,competente,competente
3,40,Re4,Rf2+,Moved,Check,,,0-1,1528,1506,competente,competente,competente
3,41,Kg3,Rxa2,Moved,Take Pawn  ,,,0-1,1528,1506,competente,competente,competente
3,42,Re1,Rb2,Moved,Moved,,,0-1,1528,1506,competente,competente,competente
3,43,Rf1,Rxb3+,Moved,Take Pawn and check ,,,0-1,1528,1506,competente,competente,competente
3,44,Kh4,e4,Moved,Moved,,,0-1,1528,1506,competente,competente,competente
3,45,Be6,e3,Moved,Moved,,,0-1,1528,1506,competente,competente,competente
3,46,Nf4,Rb2,Moved,Moved,,,0-1,1528,1506,competente,competente,competente
3,47,Nd3,Rd2,Moved,Moved,,,0-1,1528,1506,competente,competente,competente
3,48,Rf7+,Kg6,Check,Moved,,,0-1,1528,1506,competente,competente,competente
3,49,Nf4+,Kh6,Check,Moved,,,0-1,1528,1506,competente,competente,competente
4,1,d4,Nf6,Moved,Moved,,,0-1,1495,1386,competente,competente,competente
4,2,Nf3,c5,Moved,Moved,,,0-1,1495,1386,competente,competente,competente
4,3,e3,cxd4,Moved,Take Pawn  ,,,0-1,1495,1386,competente,competente,competente
4,4,exd4,d5,Take Pawn  ,Moved,,,0-1,1495,1386,competente,competente,competente
4,5,c4,Bg4,Moved,Moved,,,0-1,1495,1386,competente,competente,competente
4,6,Nc3,e6,Moved,Moved,,,0-1,1495,1386,competente,competente,competente
4,7,Qb3,Nc6,Moved,Moved,,,0-1,1495,1386,competente,competente,competente
4,8,Qxb7,Qc8,Take Pawn  ,Moved,,,0-1,1495,1386,competente,competente,competente
4,9,Qxc8+,Rxc8,Take Queen and check ,Take Queen  ,,,0-1,1495,1386,competente,competente,competente
4,10,Ne5,Nxd4,Moved,Take Pawn  ,,,0-1,1495,1386,competente,competente,competente
4,11,Nxg4,Nxg4,Take Bishop   ,Take Knight  ,,,0-1,1495,1386,competente,competente,competente
4,12,cxd5,Nc2+,Take Pawn  ,Check,,,0-1,1495,1386,competente,competente,competente
5,1,d4,d5,Moved,Moved,,,1--0,1503,1507,competente,competente,competente
5,2,c4,Nf6,Moved,Moved,,,1--0,1503,1507,competente,competente,competente
5,3,Nc3,e6,Moved,Moved,,,1--0,1503,1507,competente,competente,competente
5,4,Bg5,c6,Moved,Moved,,,1--0,1503,1507,competente,competente,competente
5,5,Nf3,Be7,Moved,Moved,,,1--0,1503,1507,competente,competente,competente
5,6,e3,Nbd7,Moved,Moved,,,1--0,1503,1507,competente,competente,competente
5,7,Bd3,b6,Moved,Moved,,,1--0,1503,1507,competente,competente,competente
5,8,O-O,Bb7,Castle  ,Moved,,,1--0,1503,1507,competente,competente,competente
5,9,cxd5,Nxd5,Take Pawn  ,Take Pawn  ,,,1--0,1503,1507,competente,competente,competente
5,10,Bxe7,Nxe7,Take Bishop   ,Take Bishop  ,,,1--0,1503,1507,competente,competente,competente
5,11,Qc2,c5,Moved,Moved,,,1--0,1503,1507,competente,competente,competente
5,12,Bxh7,Bxf3,Take Pawn  ,Take Knight  ,,,1--0,1503,1507,competente,competente,competente
5,13,gxf3,Qc7,Take Bishop   ,Moved,,,1--0,1503,1507,competente,competente,competente
5,14,Be4,Qxh2#,Moved,Take Pawn  and mate,,,1--0,1503,1507,competente,competente,competente
6,1,d4,c6,Moved,Moved,,,0-1,1494,1485,competente,competente,competente
6,2,c4,d5,Moved,Moved,,,0-1,1494,1485,competente,competente,competente
6,3,Nc3,dxc4,Moved,Take Pawn  ,,,0-1,1494,1485,competente,competente,competente
6,4,a4,b5,Moved,Moved,,,0-1,1494,1485,competente,competente,competente
6,5,axb5,cxb5,Take Pawn  ,Take Pawn  ,,,0-1,1494,1485,competente,competente,competente
6,6,Nxb5,Bd7,Take Pawn  ,Moved,,,0-1,1494,1485,competente,competente,competente
6,7,Nc3,Nf6,Moved,Moved,,,0-1,1494,1485,competente,competente,competente
6,8,e3,Nc6,Moved,Moved,,,0-1,1494,1485,competente,competente,competente
6,9,Bxc4,e6,Take Pawn  ,Moved,,,0-1,1494,1485,competente,competente,competente
6,10,Nf3,Bd6,Moved,Moved,,,0-1,1494,1485,competente,competente,competente
6,11,O-O,Qc7,Castle  ,Moved,,,0-1,1494,1485,competente,competente,competente
6,12,e4,O-O,Moved,Castle  ,,,0-1,1494,1485,competente,competente,competente
6,13,e5,Bb4,Moved,Moved,,,0-1,1494,1485,competente,competente,competente
6,14,exf6,,Take Knight   ,Moved,,,0-1,1494,1485,competente,competente,competente
7,1,d4,e6,Moved,Moved,,,1--0,1504,1571,competente,competente,competente
7,2,c4,Ne7,Moved,Moved,,,1--0,1504,1571,competente,competente,competente
7,3,Nc3,Ng6,Moved,Moved,,,1--0,1504,1571,competente,competente,competente
7,4,Nf3,Be7,Moved,Moved,,,1--0,1504,1571,competente,competente,competente
7,5,e4,O-O,Moved,Castle  ,,,1--0,1504,1571,competente,competente,competente
7,6,Be2,Nc6,Moved,Moved,,,1--0,1504,1571,competente,competente,competente
7,7,h4,Nxh4,Moved,Take Pawn  ,,,1--0,1504,1571,competente,competente,competente
7,8,Nxh4,Bxh4,Take Knight   ,Take Pawn  ,,,1--0,1504,1571,competente,competente,competente
7,9,g3,Bg5,Moved,Moved,,,1--0,1504,1571,competente,competente,competente
7,10,f4,Be7,Moved,Moved,,,1--0,1504,1571,competente,competente,competente
7,11,Be3,f5,Moved,Moved,,,1--0,1504,1571,competente,competente,competente
7,12,e5,b6,Moved,Moved,,,1--0,1504,1571,competente,competente,competente
7,13,Qc2,Nb4,Moved,Moved,,,1--0,1504,1571,competente,competente,competente
7,14,Qb3,a5,Moved,Moved,,,1--0,1504,1571,competente,competente,competente
7,15,a3,Na6,Moved,Moved,,,1--0,1504,1571,competente,competente,competente
7,16,Qc2,Bb7,Moved,Moved,,,1--0,1504,1571,competente,competente,competente
7,17,g4,Bxh1,Moved,Take Rook  ,,,1--0,1504,1571,competente,competente,competente
7,18,Kd2,Bb7,Moved,Moved,,,1--0,1504,1571,competente,competente,competente
7,19,d5,exd5,Moved,Take Pawn  ,,,1--0,1504,1571,competente,competente,competente
7,20,cxd5,fxg4,Take Pawn  ,Take Pawn  ,,,1--0,1504,1571,competente,competente,competente
7,21,Rh1,g6,Moved,Moved,,,1--0,1504,1571,competente,competente,competente
7,22,Bd3,Kg7,Moved,Moved,,,1--0,1504,1571,competente,competente,competente
7,23,f5,Nc5,Moved,Moved,,,1--0,1504,1571,competente,competente,competente
7,24,f6+,Bxf6,Check,Take Pawn  ,,,1--0,1504,1571,competente,competente,competente
7,25,exf6+,Qxf6,Take Bishop and check  ,Take Pawn  ,,,1--0,1504,1571,competente,competente,competente
7,26,Bd4,Qxd4,Moved,Take Bishop  ,,,1--0,1504,1571,competente,competente,competente
7,27,Ne2,Rf2,Moved,Moved,,,1--0,1504,1571,competente,competente,competente
7,28,Kc1,Nxd3+,Moved,Take Bishop and check ,,,1--0,1504,1571,competente,competente,competente
7,29,Kb1,Qe4,Moved,Moved,,,1--0,1504,1571,competente,competente,competente
7,30,Qc3+,Kg8,Check,Moved,,,1--0,1504,1571,competente,competente,competente
7,31,Ng3,Qxh1+,Moved,Take Rook and check ,,,1--0,1504,1571,competente,competente,competente
7,32,Ka2,Qxd5+,Moved,Take Pawn and check ,,,1--0,1504,1571,competente,competente,competente
8,1,d4,Nf6,Moved,Moved,,,0-1,1542,1513,competente,competente,competente
8,2,c4,d5,Moved,Moved,,,0-1,1542,1513,competente,competente,competente
8,3,Nc3,Bf5,Moved,Moved,,,0-1,1542,1513,competente,competente,competente
8,4,Nf3,e6,Moved,Moved,,,0-1,1542,1513,competente,competente,competente
8,5,Nh4,Be7,Moved,Moved,,,0-1,1542,1513,competente,competente,competente
8,6,Nxf5,exf5,Take Bishop   ,Take Knight  ,,,0-1,1542,1513,competente,competente,competente
8,7,e3,O-O,Moved,Castle  ,,,0-1,1542,1513,competente,competente,competente
8,8,Bd3,g6,Moved,Moved,,,0-1,1542,1513,competente,competente,competente
8,9,cxd5,Nxd5,Take Pawn  ,Take Pawn  ,,,0-1,1542,1513,competente,competente,competente
8,10,O-O,Nc6,Castle  ,Moved,,,0-1,1542,1513,competente,competente,competente
8,11,Bc4,Nb6,Moved,Moved,,,0-1,1542,1513,competente,competente,competente
8,12,Bb3,a5,Moved,Moved,,,0-1,1542,1513,competente,competente,competente
8,13,Bc2,Bf6,Moved,Moved,,,0-1,1542,1513,competente,competente,competente
8,14,Qf3,Bg7,Moved,Moved,,,0-1,1542,1513,competente,competente,competente
8,15,a3,Re8,Moved,Moved,,,0-1,1542,1513,competente,competente,competente
8,16,Ne2,a4,Moved,Moved,,,0-1,1542,1513,competente,competente,competente
8,17,Ng3,Nc4,Moved,Moved,,,0-1,1542,1513,competente,competente,competente
8,18,b3,axb3,Moved,Take Pawn  ,,,0-1,1542,1513,competente,competente,competente
8,19,Bxb3,Nb6,Take Pawn  ,Moved,,,0-1,1542,1513,competente,competente,competente
8,20,Bb2,Ne7,Moved,Moved,,,0-1,1542,1513,competente,competente,competente
8,21,h4,c6,Moved,Moved,,,0-1,1542,1513,competente,competente,competente
8,22,h5,Ned5,Moved,Moved,,,0-1,1542,1513,competente,competente,competente
8,23,hxg6,fxg6,Take Pawn  ,Take Pawn  ,,,0-1,1542,1513,competente,competente,competente
8,24,Rfe1,Kh8,Moved,Moved,,,0-1,1542,1513,competente,competente,competente
8,25,Ne2,Qe7,Moved,Moved,,,0-1,1542,1513,competente,competente,competente
8,26,Nf4,Nxf4,Moved,Take Knight  ,,,0-1,1542,1513,competente,competente,competente
8,27,Qxf4,Qe5,Take Knight   ,Moved,,,0-1,1542,1513,competente,competente,competente
8,28,g3,Qxf4,Moved,Take Queen  ,,,0-1,1542,1513,competente,competente,competente
8,29,gxf4,Nd5,Take Queen  ,Moved,,,0-1,1542,1513,competente,competente,competente
8,30,Kg2,b5,Moved,Moved,,,0-1,1542,1513,competente,competente,competente
8,31,Rac1,Rac8,Moved,Moved,,,0-1,1542,1513,competente,competente,competente
8,32,Rh1,h6,Moved,Moved,,,0-1,1542,1513,competente,competente,competente
8,33,a4,bxa4,Moved,Take Pawn  ,,,0-1,1542,1513,competente,competente,competente
8,34,Bxa4,Nb4,Take Pawn  ,Moved,,,0-1,1542,1513,competente,competente,competente
8,35,Ba3,Nd3,Moved,Moved,,,0-1,1542,1513,competente,competente,competente
8,36,Rxc6,Rxc6,Take Pawn  ,Take Rook  ,,,0-1,1542,1513,competente,competente,competente
8,37,Bxc6,Rc8,Take Rook  ,Moved,,,0-1,1542,1513,competente,competente,competente
8,38,d5,g5,Moved,Moved,,,0-1,1542,1513,competente,competente,competente
8,39,fxg5,Kg8,Take Pawn  ,Moved,,,0-1,1542,1513,competente,competente,competente
8,40,gxh6,Be5,Take Pawn  ,Moved,,,0-1,1542,1513,competente,competente,competente
8,41,f4,Bc7,Moved,Moved,,,0-1,1542,1513,competente,competente,competente
8,42,h7+,Kg7,Check,Moved,,,0-1,1542,1513,competente,competente,competente
8,43,Kf3,Rh8,Moved,Moved,,,0-1,1542,1513,competente,competente,competente
8,44,Ke2,Rxh7,Moved,Take Pawn  ,,,0-1,1542,1513,competente,competente,competente
8,45,Rxh7+,Kxh7,Take Rook and check ,Take Rook  ,,,0-1,1542,1513,competente,competente,competente
8,46,Kxd3,Kg6,Take Knight   ,Moved,,,0-1,1542,1513,competente,competente,competente
8,47,d6,Bxd6,Moved,Take Pawn  ,,,0-1,1542,1513,competente,competente,competente
8,48,Bxd6,,Take Bishop   ,Moved,,,0-1,1542,1513,competente,competente,competente
9,1,d4,Nf6,Moved,Moved,,,1/2-1/2,1513,1521,competente,competente,competente
9,2,Bf4,c5,Moved,Moved,,,1/2-1/2,1513,1521,competente,competente,competente
9,3,e3,cxd4,Moved,Take Pawn  ,,,1/2-1/2,1513,1521,competente,competente,competente
9,4,exd4,d5,Take Pawn  ,Moved,,,1/2-1/2,1513,1521,competente,competente,competente
9,5,Bd3,Nc6,Moved,Moved,,,1/2-1/2,1513,1521,competente,competente,competente
9,6,Nd2,Bg4,Moved,Moved,,,1/2-1/2,1513,1521,competente,competente,competente
9,7,Ngf3,e6,Moved,Moved,,,1/2-1/2,1513,1521,competente,competente,competente
9,8,c3,Bd6,Moved,Moved,,,1/2-1/2,1513,1521,competente,competente,competente
9,9,Bg3,O-O,Moved,Castle  ,,,1/2-1/2,1513,1521,competente,competente,competente
9,10,Rc1,Nh5,Moved,Moved,,,1/2-1/2,1513,1521,competente,competente,competente
9,11,Bb1,Nxg3,Moved,Take Bishop  ,,,1/2-1/2,1513,1521,competente,competente,competente
9,12,hxg3,h6,Take Knight   ,Moved,,,1/2-1/2,1513,1521,competente,competente,competente
9,13,Qc2,Bf5,Moved,Moved,,,1/2-1/2,1513,1521,competente,competente,competente
9,14,Qd1,Bxb1,Moved,Take Bishop  ,,,1/2-1/2,1513,1521,competente,competente,competente
9,15,Rxb1,a5,Take Bishop   ,Moved,,,1/2-1/2,1513,1521,competente,competente,competente
9,16,Qc2,b5,Moved,Moved,,,1/2-1/2,1513,1521,competente,competente,competente
9,17,g4,b4,Moved,Moved,,,1/2-1/2,1513,1521,competente,competente,competente
9,18,g5,bxc3,Moved,Take Pawn  ,,,1/2-1/2,1513,1521,competente,competente,competente
9,19,gxh6,cxd2+,Take Pawn  ,Take Knight and check ,,,1/2-1/2,1513,1521,competente,competente,competente
9,20,Nxd2,gxh6,Take Pawn  ,Take Pawn  ,,,1/2-1/2,1513,1521,competente,competente,competente
9,21,Rxh6,f5,Take Pawn  ,Moved,,,1/2-1/2,1513,1521,competente,competente,competente
9,22,Nf3,Nb4,Moved,Moved,,,1/2-1/2,1513,1521,competente,competente,competente
9,23,Qd2,f4,Moved,Moved,,,1/2-1/2,1513,1521,competente,competente,competente
9,24,a3,Rc8,Moved,Moved,,,1/2-1/2,1513,1521,competente,competente,competente
9,25,Rc1,Rxc1+,Moved,Take Rook and check ,,,1/2-1/2,1513,1521,competente,competente,competente
9,26,Qxc1,Nd3+,Take Rook  ,Check,,,1/2-1/2,1513,1521,competente,competente,competente
10,1,d4,d5,Moved,Moved,,,1--0,1571,1506,competente,competente,competente
10,2,c4,dxc4,Moved,Take Pawn  ,,,1--0,1571,1506,competente,competente,competente
10,3,e3,Nf6,Moved,Moved,,,1--0,1571,1506,competente,competente,competente
10,4,Bxc4,e6,Take Pawn  ,Moved,,,1--0,1571,1506,competente,competente,competente
10,5,Nf3,Be7,Moved,Moved,,,1--0,1571,1506,competente,competente,competente
10,6,O-O,c5,Castle  ,Moved,,,1--0,1571,1506,competente,competente,competente
10,7,Bd2,O-O,Moved,Castle  ,,,1--0,1571,1506,competente,competente,competente
10,8,Bc3,cxd4,Moved,Take Pawn  ,,,1--0,1571,1506,competente,competente,competente
10,9,exd4,Nc6,Take Pawn  ,Moved,,,1--0,1571,1506,competente,competente,competente
10,10,Nbd2,b6,Moved,Moved,,,1--0,1571,1506,competente,competente,competente
10,11,Qc2,Bb7,Moved,Moved,,,1--0,1571,1506,competente,competente,competente
10,12,a3,h6,Moved,Moved,,,1--0,1571,1506,competente,competente,competente
10,13,Rad1,Rc8,Moved,Moved,,,1--0,1571,1506,competente,competente,competente
10,14,Bd3,Na5,Moved,Moved,,,1--0,1571,1506,competente,competente,competente
10,15,Ne4,Nxe4,Moved,Take Knight  ,,,1--0,1571,1506,competente,competente,competente
10,16,Bxe4,Bxe4,Take Knight   ,Take Knight  ,,,1--0,1571,1506,competente,competente,competente
10,17,Qxe4,Nc4,Take Bishop   ,Moved,,,1--0,1571,1506,competente,competente,competente
10,18,Rfe1,Nd6,Moved,Moved,,,1--0,1571,1506,competente,competente,competente
10,19,Qe2,Nf5,Moved,Moved,,,1--0,1571,1506,competente,competente,competente
10,20,Ne5,Bf6,Moved,Moved,,,1--0,1571,1506,competente,competente,competente
10,21,g4,Nh4,Moved,Moved,,,1--0,1571,1506,competente,competente,competente
10,22,f4,Qd5,Moved,Moved,,,1--0,1571,1506,competente,competente,competente
10,23,Qf2,Bxe5,Moved,Take Knight  ,,,1--0,1571,1506,competente,competente,competente
10,24,Qxh4,Bxf4,Take Knight   ,Take Pawn  ,,,1--0,1571,1506,competente,competente,competente
10,25,Rf1,Bg5,Moved,Moved,,,1--0,1571,1506,competente,competente,competente
10,26,Qg3,Qb5,Moved,Moved,,,1--0,1571,1506,competente,competente,competente
10,27,h4,Be7,Moved,Moved,,,1--0,1571,1506,competente,competente,competente
10,28,Rde1,Rfd8,Moved,Moved,,,1--0,1571,1506,competente,competente,competente
10,29,Re5,Rd5,Moved,Moved,,,1--0,1571,1506,competente,competente,competente
10,30,Qf4,Rxe5,Moved,Take Rook  ,,,1--0,1571,1506,competente,competente,competente
10,31,Qxf7+,Kh8,Take Pawn and check ,Moved,,,1--0,1571,1506,competente,competente,competente
10,32,dxe5,Bxh4,Take Rook  ,Take Pawn  ,,,1--0,1571,1506,competente,competente,competente
10,33,Qxe6,Qe2,Take Pawn  ,Moved,,,1--0,1571,1506,competente,competente,competente
10,34,Qxc8+,Kh7,Take Rook and check ,Moved,,,1--0,1571,1506,competente,competente,competente
10,35,Qf5+,Kh8,Check,Moved,,,1--0,1571,1506,competente,competente,competente
10,36,e6,Qe3+,Moved,Check,,,1--0,1571,1506,competente,competente,competente
10,37,Kg2,Qg3+,Moved,Check,,,1--0,1571,1506,competente,competente,competente
10,38,Kh1,Qh3+,Moved,Check,,,1--0,1571,1506,competente,competente,competente
10,39,Kg1,Qg3+,Moved,Check,,,1--0,1571,1506,competente,competente,competente
10,40,Kh1,Qh3+,Moved,Check,,,1--0,1571,1506,competente,competente,competente
10,41,Kg1,Qg3+,Moved,Check,,,1--0,1571,1506,competente,competente,competente
10,42,Kh1,,Moved,Moved,,,1--0,1571,1506,competente,competente,competente
11,1,e4,c6,Moved,Moved,,,1--0,1537,1499,competente,competente,competente
11,2,d4,d5,Moved,Moved,,,1--0,1537,1499,competente,competente,competente
11,3,Nc3,Nf6,Moved,Moved,,,1--0,1537,1499,competente,competente,competente
11,4,Bg5,Bg4,Moved,Moved,,,1--0,1537,1499,competente,competente,competente
11,5,f3,Bh5,Moved,Moved,,,1--0,1537,1499,competente,competente,competente
11,6,e5,Nfd7,Moved,Moved,,,1--0,1537,1499,competente,competente,competente
11,7,Bd3,h6,Moved,Moved,,,1--0,1537,1499,competente,competente,competente
11,8,Bh4,g5,Moved,Moved,,,1--0,1537,1499,competente,competente,competente
11,9,Bg3,Rg8,Moved,Moved,,,1--0,1537,1499,competente,competente,competente
11,10,Nge2,e6,Moved,Moved,,,1--0,1537,1499,competente,competente,competente
11,11,O-O,c5,Castle  ,Moved,,,1--0,1537,1499,competente,competente,competente
11,12,Bb5,a6,Moved,Moved,,,1--0,1537,1499,competente,competente,competente
11,13,Bxd7+,Nxd7,Take Knight and check  ,Take Bishop  ,,,1--0,1537,1499,competente,competente,competente
11,14,Qd2,c4,Moved,Moved,,,1--0,1537,1499,competente,competente,competente
11,15,f4,Bb4,Moved,Moved,,,1--0,1537,1499,competente,competente,competente
11,16,fxg5,hxg5,Take Pawn  ,Take Pawn  ,,,1--0,1537,1499,competente,competente,competente
11,17,Qe3,Qe7,Moved,Moved,,,1--0,1537,1499,competente,competente,competente
11,18,Rf2,O-O-O,Moved,Long Castle  ,,,1--0,1537,1499,competente,competente,competente
11,19,Raf1,Rdf8,Moved,Moved,,,1--0,1537,1499,competente,competente,competente
